ID,郵便番号,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,町域カナ
165,950-0329,新潟県,ニイガタケン,新潟市江南区,ニイガタシコウナンク,平賀,ヒラガ
166,956-0003,新潟県,ニイガタケン,新潟市秋葉区,ニイガタシアキハク,長割,オサワリ
167,950-1416,新潟県,ニイガタケン,新潟市南区,ニイガタシミナミク,西笠巻,ニシカサマキ
168,950-1185,新潟県,ニイガタケン,新潟市西区,ニイガタシニシク,山田,ヤマダ
169,940-0878,新潟県,ニイガタケン,長岡市,ナガオカシ,稲保南,イナホミナミ
170,953-0042,新潟県,ニイガタケン,新潟市西蒲区,ニイガタシニシカンク,赤鏥,アカサビ
171,930-1464,富山県,トヤマケン,富山市,トヤマシ,才覚地,サイカクチ
172,939-2461,富山県,トヤマケン,富山市,トヤマシ,八尾町高熊,ヤツオマチタカクマ
173,934-0099,富山県,トヤマケン,高岡市,タカオカシ,若葉町,ワカバチョウ
174,933-0909,富山県,トヤマケン,高岡市,タカオカシ,開発本町,カイホツホンマチ
175,933-0116,富山県,トヤマケン,高岡市,タカオカシ,伏木一宮,フシキイチノミヤ
176,937-8678,富山県,トヤマケン,魚津市,ウオヅシ,双葉町,フタバチョウ
177,935-0335,富山県,トヤマケン,氷見市,ヒミシ,胡桃,クルミ
178,936-0853,富山県,トヤマケン,滑川市,ナメリカワシ,上梅沢,カミウメザワ
179,938-0084,富山県,トヤマケン,黒部市,クロベシ,生地芦崎,イクジアシザキ
180,939-1432,富山県,トヤマケン,砺波市,トナミシ,徳万,トクマン
181,921-8045,石川県,イシカワケン,金沢市,カナザワシ,大桑,オオクワ
182,920-0393,石川県,イシカワケン,金沢市,カナザワシ,松島,マツシマ
183,926-0821,石川県,イシカワケン,七尾市,ナナオシ,国分町,コクブマチ
184,923-0826,石川県,イシカワケン,小松市,コマツシ,希望丘,キボウガオカ
185,928-0253,石川県,イシカワケン,輪島市,ワジマシ,尊利地町,ソリジマチ
186,927-2311,石川県,イシカワケン,輪島市,ワジマシ,門前町切狭,モンゼンマチキリバサミ
187,927-1228,石川県,イシカワケン,珠洲市,スズシ,宝立町黒峰,ホウリュウマチクロミネ
188,922-0064,石川県,イシカワケン,加賀市,カガシ,大聖寺北片原町,ダイショウジキタカタハラマチ
189,925-8505,石川県,イシカワケン,羽咋市,ハクイシ,中央町,チュウオウマチ
190,924-8555,石川県,イシカワケン,白山市,ハクサンシ,旭丘,アサヒガオカ
191,910-8548,福井県,フクイケン,福井市,フクイシ,日之出,ヒノデ
192,914-0055,福井県,フクイケン,敦賀市,ツルガシ,鉄輪町,カナワチョウ
193,917-0241,福井県,フクイケン,小浜市,オバマシ,遠敷,オニュウ
194,917-8512,福井県,フクイケン,小浜市,オバマシ,四谷町,ヨツヤチョウ
195,912-0152,福井県,フクイケン,大野市,オオノシ,下打波,シモウチナミ
196,911-0051,福井県,フクイケン,勝山市,カツヤマシ,北郷町新町,キタゴウチョウアラマチ
197,916-8515,福井県,フクイケン,鯖江市,サバエシ,三六町,サンロクチョウ
198,916-0053,福井県,フクイケン,鯖江市,サバエシ,日の出町,ヒノデチョウ
199,915-0882,福井県,フクイケン,越前市,エチゼンシ,上太田町,カミオオダチョウ
200,919-0463,福井県,フクイケン,坂井市,サカイシ,春江町江留上昭和,ハルエチョウエドメカミショウワ
201,400-0856,山梨県,ヤマナシケン,甲府市,コウフシ,伊勢,イセ
202,403-0005,山梨県,ヤマナシケン,富士吉田市,フジヨシダシ,上吉田,カミヨシダ
203,402-0014,山梨県,ヤマナシケン,都留市,ツルシ,朝日馬場,アサヒババ
204,405-0003,山梨県,ヤマナシケン,山梨市,ヤマナシシ,下井尻,シモイジリ
205,409-0617,山梨県,ヤマナシケン,大月市,オオツキシ,猿橋町殿上,サルハシマチトノウエ
206,407-0058,山梨県,ヤマナシケン,韮崎市,ニラサキシ,清哲町水上,セイテツマチミズカミ
207,400-0224,山梨県,ヤマナシケン,南アルプス市,ミナミアルプスシ,飯野新田,イイノシンデン
208,408-8522,山梨県,ヤマナシケン,北杜市,ホクトシ,小淵沢町,コブチサワチョウ
209,400-0124,山梨県,ヤマナシケン,甲斐市,カイシ,中下条,ナカシモジョウ
210,409-3702,山梨県,ヤマナシケン,笛吹市,フエフキシ,芦川町新井原,アシガワチョウアライバラ
211,380-8502,長野県,ナガノケン,長野市,ナガノシ,稲葉,イナバ
212,390-8605,長野県,ナガノケン,松本市,マツモトシ,蟻ケ崎,アリガサキ
213,390-0814,長野県,ナガノケン,松本市,マツモトシ,本庄,ホンジョウ
214,386-0192,長野県,ナガノケン,上田市,ウエダシ,大屋,オオヤ
215,386-0322,長野県,ナガノケン,上田市,ウエダシ,西内,ニシウチ
216,394-0052,長野県,ナガノケン,岡谷市,オカヤシ,西林,ニシバヤシ
217,395-0083,長野県,ナガノケン,飯田市,イイダシ,錦町,ニシキチョウ
218,382-0073,長野県,ナガノケン,須坂市,スザカシ,田の神町,タノカミマチ
219,384-0055,長野県,ナガノケン,小諸市,コモロシ,柏木,カシワギ
220,396-0114,長野県,ナガノケン,伊那市,イナシ,仙美,センミ
221,500-8351,岐阜県,ギフケン,岐阜市,ギフシ,清本町,セイホンマチ
222,502-8567,岐阜県,ギフケン,岐阜市,ギフシ,長良,ナガラ
223,503-0807,岐阜県,ギフケン,大垣市,オオガキシ,今宿,イマジュク
224,506-0816,岐阜県,ギフケン,高山市,タカヤマシ,大島町,オオジママチ
225,507-0064,岐阜県,ギフケン,多治見市,タジミシ,北丘町,キタオカチョウ
226,501-3214,岐阜県,ギフケン,関市,セキシ,貸上町,カシアゲチョウ
227,508-8511,岐阜県,ギフケン,中津川市,ナカツガワシ,小川町,オガワチョウ
228,501-3746,岐阜県,ギフケン,美濃市,ミノシ,中央,チュウオウ
229,509-6104,岐阜県,ギフケン,瑞浪市,ミズナミシ,山田町,ヤマダチョウ
230,501-6209,岐阜県,ギフケン,羽島市,ハシマシ,足近町直道,アジカチョウスグミチ
231,420-0836,静岡県,シズオカケン,静岡市葵区,シズオカシアオイク,東町,アズマチョウ
232,422-8072,静岡県,シズオカケン,静岡市駿河区,シズオカシスルガク,小黒,オグロ
233,424-0193,静岡県,シズオカケン,静岡市清水区,シズオカシシミズク,庵原町,イハラチョウ
234,430-8687,静岡県,シズオカケン,浜松市中区,ハママツシナカク,板屋町,イタヤマチ
235,435-0052,静岡県,シズオカケン,浜松市東区,ハママツシヒガシク,天王町,テンノウチョウ
236,430-0834,静岡県,シズオカケン,浜松市南区,ハママツシミナミク,松島町,マツシマチョウ
237,431-1416,静岡県,シズオカケン,浜松市北区,ハママツシキタク,三ヶ日町釣,ミッカビチョウツリ
238,431-3532,静岡県,シズオカケン,浜松市天竜区,ハママツシテンリュウク,西藤平,ニシフジダイラ
239,410-0866,静岡県,シズオカケン,沼津市,ヌマヅシ,市道,イチミチ
240,411-0811,静岡県,シズオカケン,三島市,ミシマシ,青木,アオキ
241,451-8688,愛知県,アイチケン,名古屋市西区,ナゴヤシニシク,牛島町,ウシジマチョウ
242,453-0849,愛知県,アイチケン,名古屋市中村区,ナゴヤシナカムラク,稲西町,イナニシチョウ
243,460-8319,愛知県,アイチケン,名古屋市中区,ナゴヤシナカク,大須,オオス
244,466-8501,愛知県,アイチケン,名古屋市昭和区,ナゴヤシショウワク,円上町,エンジョウチョウ
245,467-0804,愛知県,アイチケン,名古屋市瑞穂区,ナゴヤシミズホク,洲雲町,スグモチョウ
246,456-8601,愛知県,アイチケン,名古屋市熱田区,ナゴヤシアツタク,川並町,カワナミチョウ
247,454-0954,愛知県,アイチケン,名古屋市中川区,ナゴヤシナカガワク,江松,エマツ
248,455-0077,愛知県,アイチケン,名古屋市港区,ナゴヤシミナトク,小割通,コワリドオリ
249,463-0091,愛知県,アイチケン,名古屋市守山区,ナゴヤシモリヤマク,川上町,カワカミチョウ
